pop1	pop2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing	REP
cusp	drum	0.0249409201437693	228830179	136029072	5454051864	181258310184	1
cusp	roem	0.0254249812151565	172230116	74876212	2944985932	137089285604	1
cusp	pilo	0.0283932373206372	664840730	149483544	5264758728	41413331784	1
drum	roem	0.025233378593099	144158124	63431742	2513802968	137520468568	1
drum	pilo	0.029356057600072	351057284	84378492	2874312796	43803777716	1
roem	pilo	0.0314219592546399	262562761	49485392	1574866532	33433701352	1
cusp	drum	0.0249413609186512	228830967	136031650	5454058840	181258406440	2
cusp	roem	0.0254259178143781	172231725	74879360	2945001260	137089347700	2
cusp	pilo	0.0283940336540656	664842299	149488000	5264768008	41413348312	2
drum	roem	0.0252368365179305	144158733	63440526	2513806592	137520542368	2
drum	pilo	0.0293571126416544	351058700	84381614	2874315844	43803800476	2
roem	pilo	0.031420829520258	262564179	49483876	1574874908	33433712332	2
cusp	drum	0.0249431974523184	228831613	136041738	5454061704	181258378936	3
cusp	roem	0.0254297793707043	172232746	74891088	2945015248	137089315232	3
cusp	pilo	0.0283941257560995	664842836	149488546	5264770160	41413340000	3
drum	roem	0.0252378073460295	144159035	63442948	2513805860	137520524620	3
drum	pilo	0.0293571499981287	351058024	84381638	2874313004	43803797156	3
roem	pilo	0.031425761829254	262564360	49491752	1574878352	33433704268	3
cusp	drum	0.0249415509432516	228830589	136032518	5454052088	181258460296	4
cusp	roem	0.0254299183054673	172232134	74891446	2945013236	137089371052	4
cusp	pilo	0.0283931463493652	664842989	149483452	5264772356	41413355740	4
drum	roem	0.0252371848288584	144158476	63441286	2513802012	137520582276	4
drum	pilo	0.0293566439381923	351057570	84380128	2874311116	43803816980	4
roem	pilo	0.031421089535846	262563938	49484264	1574874224	33433721848	4
cusp	drum	0.0249451638489508	228831437	136052212	5454051648	181258332096	5
cusp	roem	0.0254301064110145	172231483	74891836	2945006788	137089281020	5
cusp	pilo	0.028395706939935	664841735	149496584	5264760068	41413335868	5
drum	roem	0.0252400433701418	144158074	63448408	2513799484	137520488324	5
drum	pilo	0.0293601454884349	351056982	84390034	2874305716	43803790220	5
roem	pilo	0.0314245999571649	262563694	49489820	1574875100	33433696852	5
