pop1	pop2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing	MIN_SAMP	MIND
cusp	drum	0.0120871372878407	6590372	103061750	8526564028	21658871252	0.1	0.25
cusp	roem	0.012770040744512	5993093	27127596	2124315540	5363737164	0.1	0.25
drum	roem	0.01381825148755	6368190	224215258	16226022388	49681408652	0.1	0.25
cusp	pilo	0.00872649394178485	3641517	1653766	189510932	324506836	0.1	0.25
drum	pilo	0.0107635285932113	3742471	15578666	1447356772	3035666628	0.1	0.25
roem	pilo	0.0115146415451124	3475617	3997998	347209940	770598700	0.1	0.25
cusp	drum	0.0102386860212057	6913588	5100076436	498118257112	1365866716360	0.1	0.5
cusp	roem	0.00978922824406309	6344723	1522482310	155526285836	414571687284	0.1	0.5
cusp	pilo	0.010133325489475	4656358	153432652	15141391852	34901590644	0.1	0.5
drum	roem	0.0106046802410228	6474272	4071017094	383888717196	1196591668444	0.1	0.5
drum	pilo	0.0124880513092591	4738623	456214410	36532073636	102023439668	0.1	0.5
roem	pilo	0.0123726408352639	4347420	136023166	10993866856	31426782584	0.1	0.5
cusp	drum	0.009969929625644	6913613	5461141192	547761257808	1516179739312	0.1	0.75
cusp	roem	0.00944794413789727	6344742	1649679878	174607285344	468887916704	0.1	0.75
cusp	pilo	0.0099377829017326	4656361	161431910	16244258060	37749486212	0.1	0.75
drum	roem	0.0103648054830287	6474287	4256770086	410694642844	1286138346916	0.1	0.75
drum	pilo	0.0124022287274809	4738623	463898148	37404418044	104788590836	0.1	0.75
roem	pilo	0.0121904216797526	4347420	139750210	11463935676	32914589892	0.1	0.75
cusp	drum	0.009969929625644	6913613	5461141192	547761257808	1516179739312	0.1	0.9
cusp	roem	0.00944794413789727	6344742	1649679878	174607285344	468887916704	0.1	0.9
cusp	pilo	0.0099377829017326	4656361	161431910	16244258060	37749486212	0.1	0.9
drum	roem	0.0103648054830287	6474287	4256770086	410694642844	1286138346916	0.1	0.9
drum	pilo	0.0124022287274809	4738623	463898148	37404418044	104788590836	0.1	0.9
roem	pilo	0.0121904216797526	4347420	139750210	11463935676	32914589892	0.1	0.9
cusp	drum	0.0090675655657178	2004726	2760967154	304488248140	133931134620	0.5	0.25
cusp	roem	0.00875150067518273	1953071	817931042	93461804136	38803980024	0.5	0.25
cusp	pilo	0.00940944185330589	1572079	82898548	8810145096	4126362124	0.5	0.25
drum	roem	0.00888781937138123	1970306	2238384660	251848576852	130293825548	0.5	0.25
drum	pilo	0.0106375341379808	1578101	252144616	23703295588	13617206592	0.5	0.25
roem	pilo	0.010556383613895	1535502	75546454	7156471076	4075928284	0.5	0.25
cusp	drum	0.00866079158948272	2004775	3283328734	379102614360	170941487016	0.5	0.5
cusp	roem	0.00829826930228538	1953094	1002729814	120836017424	51858150136	0.5	0.5
cusp	pilo	0.00917432065747121	1572079	93067362	10144332804	4869569736	0.5	0.5
drum	roem	0.0084718544318993	1970328	2588995914	305599669448	159139854472	0.5	0.5
drum	pilo	0.0104480911863812	1578104	267500962	25602854840	14741080428	0.5	0.5
roem	pilo	0.0102854087526207	1535502	82536666	8024636452	4611812828	0.5	0.5
cusp	drum	0.00852071815217093	2004799	3323387674	390036099616	177807287264	0.5	0.75
cusp	roem	0.00817077027157301	1953153	1015712334	124310475052	54039774804	0.5	0.75
cusp	pilo	0.00907209587777524	1572082	94116544	10374288948	5017321832	0.5	0.75
drum	roem	0.00839855211838337	1970389	2598673480	309419224096	162052617824	0.5	0.75
drum	pilo	0.0104120454398291	1578104	268233040	25761800748	14865581372	0.5	0.75
roem	pilo	0.0102466188635248	1535502	82760488	8076858240	4653194368	0.5	0.75
cusp	drum	0.00848730809280385	2004805	3326790140	391972354912	179354733728	0.5	0.9
cusp	roem	0.00813889475380556	1953155	1016745964	124924328764	54520094404	0.5	0.9
cusp	pilo	0.00903740646947523	1572082	94233870	10427092144	5058945696	0.5	0.9
drum	roem	0.00839855211838337	1970389	2598673480	309419224096	162052617824	0.5	0.9
drum	pilo	0.0104120454398291	1578104	268233040	25761800748	14865581372	0.5	0.9
roem	pilo	0.0102466188635248	1535502	82760488	8076858240	4653194368	0.5	0.9
cusp	drum	0.00753528757808688	1186106	1804760068	239507789092	46022634668	0.7	0.25
cusp	roem	0.00735533554880652	1180242	547539526	74441134924	13638105076	0.7	0.25
drum	roem	0.00724358166141455	1185174	1422496750	196380301416	44752446084	0.7	0.25
cusp	pilo	0.00845123277147232	922319	53686178	6352467084	1718643652	0.7	0.25
drum	pilo	0.00915370119372098	924906	153640036	16784471412	5315176548	0.7	0.25
roem	pilo	0.0091049488206499	920922	47363766	5201980476	1609155024	0.7	0.25
cusp	drum	0.00731773423915089	1186124	1947244394	266099359496	52500003232	0.7	0.5
cusp	roem	0.00711823028884922	1180263	599941800	84282437580	15880658548	0.7	0.5
drum	roem	0.00699319137657688	1185196	1546615092	221160126860	50738500228	0.7	0.5
cusp	pilo	0.00834226883551499	922319	55989396	6711531012	1850390512	0.7	0.5
drum	pilo	0.00902632849858743	924906	159176866	17634730004	5610825628	0.7	0.5
roem	pilo	0.00894071434153084	920922	49785876	5568444992	1733092264	0.7	0.5
cusp	drum	0.00713543535652616	1186143	1980382704	277541958556	56339045804	0.7	0.75
cusp	roem	0.00693062766183555	1180322	611900720	88289365676	17253723732	0.7	0.75
drum	roem	0.00689316444434027	1185256	1557401132	225934132948	52613826412	0.7	0.75
cusp	pilo	0.00819423603350331	922319	56854292	6938327352	1950801364	0.7	0.75
drum	pilo	0.00897712827991328	924906	159639502	17782914204	5680909556	0.7	0.75
roem	pilo	0.00887604613765678	920922	50060460	5639950404	1770565020	0.7	0.75
cusp	drum	0.00713543535652616	1186143	1980382704	277541958556	56339045804	0.7	0.9
cusp	roem	0.00693062766183555	1180322	611900720	88289365676	17253723732	0.7	0.9
drum	roem	0.00689316444434027	1185256	1557401132	225934132948	52613826412	0.7	0.9
cusp	pilo	0.00819423603350331	922319	56854292	6938327352	1950801364	0.7	0.9
drum	pilo	0.00897712827991328	924906	159639502	17782914204	5680909556	0.7	0.9
roem	pilo	0.00887604613765678	920922	50060460	5639950404	1770565020	0.7	0.9
