Population	Four_groups
660	MIX
661	MIX
662	MIX
664	MIX
670	MIX
671	MIX
672	MIX
673	MIX
675	MIX
676	MIX
678	MIX
754	MIX
759	MIX
769	MIX
770	MIX
831	MIX
690	NorthEast
691	NorthEast
692	NorthEast
702	NorthEast
703	NorthEast
704	NorthEast
706	NorthEast
784	NorthEast
785	NorthEast
787	NorthEast
677	SouthBlue
685	SouthBlue
777	SouthBlue
778	SouthBlue
780	SouthBlue
812	SouthBlue
669	WestRed
761	WestRed
764	WestRed
786	WestRed
794	WestRed
797	WestRed
800	WestRed
802	WestRed
807	WestRed
817	WestRed
656A	WestRed
680A	WestRed
768D	WestRed
798D	WestRed
