Sequence_library	Sample_ID	Population	year	lat	long	species	region	species_v2
ddRAD_sam_april_2021	640-12-2	640	2019	29.5822333	-98.6926667	roem	RD-sympatry	roem
ddRAD_sam_april_2021	651-14	651	2019	30.567097	-96.213673	cusp	allopatry	cusp
ddRAD_sam_april_2021	651-15	651	2019	30.567097	-96.213673	cusp	allopatry	cusp
ddRAD_sam_april_2021	651-6	651	2019	30.567097	-96.213673	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-10-1	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-11-1	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-13-1	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-16-1	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-24-1	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	652-29-2	652	2019	30.5466333	-96.5575	cusp	allopatry	cusp
ddRAD_sam_april_2021	654-7-1	654	2019	30.07125	-97.09005	cusp	CD-sympatry	cusp
ddRAD_sam_april_2021	656A-10	656A	2019	30.0852333	-96.9161667	drum	CD-sympatry	drum
ddRAD_sam_april_2021	656A-23-1	656A	2019	30.0852333	-96.9161667	drum	CD-sympatry	drum
ddRAD_sam_april_2021	656A-26-1	656A	2019	30.0852333	-96.9161667	drum	CD-sympatry	drum
ddRAD_sam_april_2021	656A-29-1	656A	2019	30.0852333	-96.9161667	drum	CD-sympatry	drum
ddRAD_sam_april_2021	656A-4	656A	2019	30.0852333	-96.9161667	drum	CD-sympatry	drum
ddRAD_sam_april_2021	659-20	659	2019	30.1048333	-97.29615	cusp	CD-sympatry	cusp
ddRAD_sam_april_2021	661-1-2	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	661-12-1	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	661-27-1	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	661-33-1	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	661-34-2	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	661-9-1	661	2019	30.0665023	-97.3526087	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-14-1	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-16-2	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-17	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-22-2	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-24-1	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-5-1	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	662-9-1	662	2019	30.0621514	-97.3502951	drum	CD-sympatry	drum
ddRAD_sam_april_2021	664-15-1	664	2019	30.116	-97.365	drum	CD-sympatry	drum
ddRAD_sam_april_2021	667-3	667	2019	29.528817	-96.441233	drum	CD-sympatry	drum
ddRAD_sam_april_2021	668-28	668	2019	29.680228	-96.584439	cusp	CD-sympatry	cusp
ddRAD_sam_april_2021	670-02	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	670-15	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	670-23	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	670-24	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	670-28	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	670-4	670	2019	29.4174167	-97.6808	drum	allopatry	drum
ddRAD_sam_april_2021	671-12-1	671	2019	29.4161	-97.70415	drum	allopatry	drum
ddRAD_sam_april_2021	671-14-1	671	2019	29.4161	-97.70415	drum	allopatry	drum
ddRAD_sam_april_2021	671-18	671	2019	29.4161	-97.70415	drum	allopatry	drum
ddRAD_sam_april_2021	673-23-30	673	2019	29.39921667	-97.74658333	drum	allopatry	drum
ddRAD_sam_april_2021	673-7	673	2019	29.39921667	-97.74658333	drum	allopatry	drum
ddRAD_sam_april_2021	675-6	675	2019	29.4024	-97.77451667	drum	allopatry	drum
ddRAD_sam_april_2021	676-1-1	676	2019	29.4689024	-97.8737457	drum	allopatry	drum
ddRAD_sam_april_2021	676-10-2	676	2019	29.4689024	-97.8737457	drum	allopatry	drum
ddRAD_sam_april_2021	676-9	676	2019	29.4689024	-97.8737457	drum	allopatry	drum
ddRAD_sam_april_2021	677-2-31	677	2019	28.842167	-97.845583	drum	allopatry	drum
ddRAD_sam_april_2021	677-3	677	2019	28.842167	-97.845583	drum	allopatry	drum
ddRAD_sam_april_2021	677-5	677	2019	28.842167	-97.845583	drum	allopatry	drum
ddRAD_sam_april_2021	677-9-30	677	2019	28.842167	-97.845583	drum	allopatry	drum
ddRAD_sam_april_2021	678-14-2	678	2019	29.2864167	-97.6241	drum	allopatry	drum
ddRAD_sam_april_2021	678-5-1	678	2019	29.2864167	-97.6241	drum	allopatry	drum
