repID	repFamily	indRepCount	indRepBP	spp	repOrder	repSuperfamily	repClade
circ15-4476	Satellite	6334	4273500	pilo	Satellite	Satellite	Satellite
circ18-40	Satellite	310	10650	pilo	Satellite	Satellite	Satellite
circ2-7363	Satellite	9308	5736162	pilo	Satellite	Satellite	Satellite
circ21-350	Satellite	11848	3857130	pilo	Satellite	Satellite	Satellite
circ44-1214	Satellite	22406	4508604	pilo	Satellite	Satellite	Satellite
circ45-185	Satellite	1298	267800	pilo	Satellite	Satellite	Satellite
circ5-5870	Satellite	60912	50873088	pilo	Satellite	Satellite	Satellite
circ53-120	Satellite	100796	10024412	pilo	Satellite	Satellite	Satellite
circ56-120	Satellite	5476	642724	pilo	Satellite	Satellite	Satellite
circ60-120	Satellite	896	86434	pilo	Satellite	Satellite	Satellite
circ75-48	Satellite	358	15256	pilo	Satellite	Satellite	Satellite
circ76-35	Satellite	802	27210	pilo	Satellite	Satellite	Satellite
ltr-1_family-1	LTR/Copia	2445	2637115	pilo	LTR	Copia	Bianca
ltr-1_family-100	LTR/Unknown	104	30577	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1000	LTR/Gypsy	763	475169	pilo	LTR	Gypsy	Tekay
ltr-1_family-1001	LTR/ERVL	761	240598	pilo	LTR	Copia	Ale
ltr-1_family-1002	LTR/Copia	230	363922	pilo	LTR	Copia	Ale
ltr-1_family-1003	LTR/Gypsy	1840	690336	pilo	LTR	Gypsy	Ogre
ltr-1_family-1004	LTR/Gypsy	1504	220210	pilo	LTR	Gypsy	Tekay
ltr-1_family-1005	rRNA	171	27855	pilo	rRNA	rRNA	rRNA
ltr-1_family-1006	LTR/Unknown	147	44125	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1007	LTR/Gypsy	346	323591	pilo	LTR	Gypsy	Ogre
ltr-1_family-1008	LTR/Gypsy	11933	7297932	pilo	LTR	Gypsy	Tekay
ltr-1_family-1009	LTR/Unknown	234	35495	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-101	LTR/Unknown	225	40180	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1010	LTR/Copia	419	106360	pilo	LTR	Copia	mixture
ltr-1_family-1011	LTR/Unknown	58	15133	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1012	LTR/Gypsy	91	165025	pilo	LTR	Gypsy	Reina
ltr-1_family-1013	LTR/Copia	437	734149	pilo	LTR	Copia	Tork
ltr-1_family-1014	LTR/Gypsy	2099	621279	pilo	LTR	Gypsy	Ogre
ltr-1_family-1015	LTR/Copia	186	398703	pilo	LTR	Copia	Ale
ltr-1_family-1016	LTR/Copia	13957	17226829	pilo	LTR/Copia	LTR/Copia	LTR/Copia
ltr-1_family-1017	LTR/Gypsy	235	173796	pilo	LTR	Gypsy	Ogre
ltr-1_family-1018	LTR/Copia	119	99672	pilo	LTR	Copia	Ale
ltr-1_family-1019	LTR/Gypsy	12216	5473725	pilo	LTR	Gypsy	Reina
ltr-1_family-1020	LTR/Copia	3524	1289055	pilo	LTR	Copia	Ale
ltr-1_family-1021	LTR/Gypsy	63	91873	pilo	LTR	Gypsy	Reina
ltr-1_family-1022	LTR/Copia	202	288461	pilo	LTR	Copia	Ale
ltr-1_family-1023	LTR/Copia	37	10772	pilo	LTR	Copia	Ale
ltr-1_family-1024	LTR/Unknown	313	93364	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1025	LTR/Unknown	1032	145002	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1026	LTR/Unknown	353	113228	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1027	LTR/Gypsy	298	644903	pilo	LTR	Gypsy	Ogre
ltr-1_family-1028	LTR/Copia	50	30290	pilo	LTR	Copia	Ale
ltr-1_family-1029	LTR/Unknown	98	47507	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-103	LTR/Unknown	154	34468	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1030	LTR/Unknown	85	43346	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1031	LTR/Copia	15718	13356333	pilo	LTR	Copia	Angela
ltr-1_family-1033	LTR/Unknown	277	62183	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1034	LTR/Copia	110	102889	pilo	LTR	Copia	Tork
ltr-1_family-1035	LTR/Gypsy	106	87859	pilo	LTR	Gypsy	Reina
ltr-1_family-1036	LTR/Copia	67	95566	pilo	LTR	Copia	Ale
ltr-1_family-1037	LTR/Gypsy	102	107517	pilo	LTR	Gypsy	Reina
ltr-1_family-1038	LTR/Gypsy	153	95671	pilo	LTR	Gypsy	mixture
ltr-1_family-1039	LTR/Unknown	474	93638	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-104	LTR/Unknown	171	41408	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1040	LTR/Copia	468	315904	pilo	LTR	Copia	Ale
ltr-1_family-1041	LTR/Copia	321	410034	pilo	LTR	Copia	Ale
ltr-1_family-1042	LTR/Unknown	226	42587	pilo	LTR/Unknown	LTR/Unknown	LTR/Unknown
ltr-1_family-1044	LTR/Copia	144	187249	pilo	LTR	Copia	Ale
ltr-1_family-1045	RC/Helitron	27700	23197405	pilo	RC/Helitron	RC/Helitron	RC/Helitron
ltr-1_family-1046	LTR/Copia	52	30148	pilo	LTR	Copia	Ale
ltr-1_family-1047	LTR/Gypsy	4419	1096306	pilo	LTR	Gypsy	Reina
