repID	pilo	drum	cusp	roe
circ15-4476	4273500	5514210	3461820	4569664
circ2-7363	5736162	8096934	7081888	4819182
circ21-350	3857130	640318	3767682	2537570
circ44-1214	4508604	3830948	3801592	3218150
circ45-185	267800	207146	92932	227912
circ5-5870	50873088	35608538	30102814	47603690
circ53-120	10024412	2456324	2731254	3362776
circ56-120	642724	738098	457180	909348
circ60-120	86434	174486	25098	88116
circ76-35	27210	137306	129504	91274
ltr-1_family-1	2637115	3770460	2194212	2943876
ltr-1_family-100	30577	27637	25156	29809
ltr-1_family-1000	475169	460783	402295	427345
ltr-1_family-1001	240598	63972	53124	39898
ltr-1_family-1002	363922	362218	208140	292792
ltr-1_family-1003	690336	1098783	597752	1376698
ltr-1_family-1004	220210	1570035	178785	712030
ltr-1_family-1005	27855	24534	18920	20722
ltr-1_family-1006	44125	24828	19813	32931
ltr-1_family-1007	323591	368824	239639	158963
ltr-1_family-1008	7297932	11695084	8391401	10685778
ltr-1_family-101	40180	25056	20852	35003
ltr-1_family-1010	106360	84164	74445	134395
ltr-1_family-1011	15133	33630	20876	17004
ltr-1_family-1012	165025	170807	173760	85248
ltr-1_family-1013	734149	839389	460279	938020
ltr-1_family-1014	621279	629993	425997	565761
ltr-1_family-1015	398703	469285	273591	498248
ltr-1_family-1016	17226829	16156386	10644139	15985586
ltr-1_family-1017	173796	801878	229508	353028
ltr-1_family-1018	99672	95888	65347	64345
ltr-1_family-1019	5473725	8471210	3760152	3275417
ltr-1_family-1020	1289055	1360419	823996	1422414
ltr-1_family-1021	91873	113823	67830	104002
ltr-1_family-1022	288461	242905	178486	233689
ltr-1_family-1024	93364	69250	44959	69181
ltr-1_family-1025	145002	99667	93879	97644
ltr-1_family-1026	113228	108290	88494	99570
ltr-1_family-1027	644903	537209	325090	350451
ltr-1_family-1028	30290	36856	16226	19011
ltr-1_family-1029	47507	111419	57396	53717
ltr-1_family-103	34468	20858	16750	19159
ltr-1_family-1030	43346	26265	28920	28227
ltr-1_family-1031	13356333	8865531	7429761	8979496
ltr-1_family-1033	62183	24869	17271	30579
ltr-1_family-1034	102889	136395	84518	136451
ltr-1_family-1035	87859	61823	33782	47540
ltr-1_family-1036	95566	74703	52593	78158
ltr-1_family-1037	107517	78472	53765	66069
ltr-1_family-1038	95671	127313	61767	116400
ltr-1_family-1039	93638	75883	69408	76808
ltr-1_family-104	41408	32637	25658	30738
ltr-1_family-1040	315904	379737	201393	269326
ltr-1_family-1041	410034	397080	249989	403751
ltr-1_family-1042	42587	29723	23346	28197
ltr-1_family-1044	187249	85648	83469	146064
ltr-1_family-1045	23197405	18537845	14705963	21232167
ltr-1_family-1046	30148	31464	28477	33077
ltr-1_family-1047	1096306	1660863	793488	1248116
ltr-1_family-1048	71177985	10453681	23352414	33923496
ltr-1_family-1049	85651	85464	58574	61653
ltr-1_family-105	990795	846001	634025	878062
ltr-1_family-1050	380715	585373	843165	707987
ltr-1_family-1051	1163050	1520655	1134666	1375374
ltr-1_family-1052	35417	20752	16592	17561
ltr-1_family-1053	28057	38133	28389	30195
ltr-1_family-1054	182553	174821	127398	239280
ltr-1_family-1055	58636	72624	44667	64641
ltr-1_family-1056	283837	256332	233580	266055
ltr-1_family-1057	1093550	840695	689607	825751
ltr-1_family-1058	394518	261250	197158	245420
ltr-1_family-1059	192340	155639	112686	119391
ltr-1_family-1060	24701	33722	38097	31613
ltr-1_family-1061	107456	124156	70833	102815
ltr-1_family-1062	70370	136751	27614	30554
ltr-1_family-1063	697665	578188	576667	569513
ltr-1_family-1064	302363	230332	183020	220028
